carat,cut,color,clarity,depth,table,price
1.14,1,4,6,-0.5205277529013924,0.2500000000000001,9013
0.76,1,5,4,0.6675838483997424,0.2692307692307693,2692
0.84,1,4,5,-0.2409720820070092,0.2500000000000001,4372
1.55,1,5,5,0.17836142433456806,0.2692307692307693,13665
0.3,1,4,2,0.10847250661097103,0.2692307692307693,422
0.4,1,3,6,0.45791709522895124,0.2500000000000001,1088
1.52,5,7,5,2.5545846269368377,0.28846153846153844,7186
1.13,1,3,3,-1.429083683308139,0.2692307692307693,5342
0.41,1,2,7,0.10847250661097103,0.23076923076923073,1367
0.24,3,3,6,0.17836142433456806,0.28846153846153844,552
0.81,1,2,3,0.10847250661097103,0.23076923076923073,3913
1.2,3,6,3,0.9471395192941255,0.34615384615384615,4301
1.24,1,2,4,0.17836142433456806,0.2692307692307693,9240
1.0,3,1,4,0.9471395192941255,0.3076923076923076,6440
0.51,3,4,3,0.10847250661097103,0.2692307692307693,1261
0.38,1,6,5,0.38802817750535423,0.20000000000000007,703
0.46,1,2,7,0.5976949306761453,0.2692307692307693,1661
0.51,1,1,5,-0.7301945060721785,0.2692307692307693,1826
0.35,3,5,3,-1.219416930137353,0.34615384615384615,491
0.3,3,4,6,1.0170284370177227,0.2692307692307693,878
0.35,3,3,2,0.7374727661233345,0.23076923076923073,460
0.4,3,2,3,0.17836142433456806,0.34615384615384615,687
1.2,3,3,4,0.8073616838469315,0.23076923076923073,8454
0.41,3,2,7,-0.38074991745419834,0.3653846153846153,1184
1.02,3,1,3,0.7374727661233345,0.2500000000000001,6047
0.3,2,5,3,0.8073616838469315,0.28846153846153844,540
0.4,1,2,4,0.10847250661097103,0.21153846153846156,1020
1.07,1,5,2,-1.7785282719261193,0.2692307692307693,4314
1.02,2,5,4,-0.5205277529013924,0.326923076923077,4958
1.22,2,3,4,-1.3591947655845469,0.3076923076923076,8417
0.91,2,2,5,0.8073616838469315,0.2500000000000001,5228
0.54,1,2,3,-0.17108316428341216,0.2500000000000001,1720
0.51,3,2,4,1.0869173547413147,0.23076923076923073,1638
